,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
169,3348,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
170,1153,1000,modis,lst_day_1km,1,1,2,307.49,1.1299999999999955,1,
171,4070,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
172,922,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
173,1015,1000,modis,lst_day_1km,2,1,2,312.68,0.4800000000000182,1,
174,3215,1000,modis,lst_day_1km,2,1,2,308.44,0.36000000000001364,1,
175,1957,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
176,4866,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
177,5064,1000,modis,lst_day_1km,2,1,2,305.48,0.5200000000000102,1,
178,5128,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
179,2368,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
180,2183,1000,modis,lst_day_1km,2,1,2,312.05,0.4300000000000068,1,
181,4888,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
182,1063,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
183,4857,1000,modis,lst_day_1km,2,1,3,307.37333333333333,0.385169515350781,1,
184,1504,1000,modis,lst_day_1km,2,1,2,316.47,0.22999999999998977,1,
185,23,1000,modis,lst_day_1km,2,1,2,300.07000000000005,0.46999999999999886,1,
186,4090,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
187,2014,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
188,4984,1000,modis,lst_day_1km,2,1,1,317.0,0.0,1,
189,4470,1000,modis,lst_day_1km,2,1,1,305.36,0.0,1,
190,3745,1000,modis,lst_day_1km,2,1,2,314.42,0.6200000000000045,1,
191,4705,1000,modis,lst_day_1km,2,1,1,303.86,0.0,1,
192,4179,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
193,2191,1000,modis,lst_day_1km,2,1,3,305.06,0.7101173611922778,1,
194,1958,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
195,1676,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
196,5009,1000,modis,lst_day_1km,2,1,2,319.01,0.4900000000000091,1,
197,3625,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
198,95,1000,modis,lst_day_1km,2,1,2,315.11,0.09000000000000341,1,
199,1901,1000,modis,lst_day_1km,2,1,3,309.0,1.8798581506769871,1,
200,3127,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
201,46,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
202,2808,1000,modis,lst_day_1km,1,1,1,309.42,0.0,1,
203,4054,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
204,1374,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
205,2633,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
206,4961,1000,modis,lst_day_1km,1,1,2,314.75,0.8499999999999943,1,
207,4699,1000,modis,lst_day_1km,1,1,1,308.38,0.0,1,
208,1786,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
209,2538,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
210,3113,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
211,1141,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
212,510,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
213,2541,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
214,3084,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
215,3889,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
216,2141,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
217,4213,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
218,4398,1000,modis,lst_day_1km,1,1,3,310.5933333333333,0.296348143611915,1,
219,4608,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
220,3189,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
221,3631,1000,modis,lst_day_1km,1,1,2,305.6,0.0,1,
222,2207,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
223,1051,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
224,303,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
225,694,1000,modis,lst_day_1km,1,1,1,303.64,0.0,1,
226,997,1000,modis,lst_day_1km,1,1,4,305.94500000000005,0.37745860700214423,1,
227,3586,1000,modis,lst_day_1km,1,1,2,308.01,0.009999999999990905,1,
228,3903,1000,modis,lst_day_1km,1,1,2,301.35,0.3900000000000148,1,
229,1971,1000,modis,lst_day_1km,1,1,2,305.11,0.4300000000000068,1,
230,2574,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
231,2476,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
232,1861,1000,modis,lst_day_1km,1,1,2,311.36,1.8600000000000136,1,
233,3142,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
234,3655,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
235,11,1000,modis,lst_day_1km,1,1,1,303.64,0.0,1,
236,3342,1000,modis,lst_day_1km,1,1,1,303.48,0.0,1,
237,3463,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
238,5034,1000,modis,lst_day_1km,1,1,1,294.5,0.0,1,
239,3217,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
240,1437,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
241,1372,1000,modis,lst_day_1km,1,1,3,310.1,0.43848223073081233,1,
242,3275,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
243,3529,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
244,5122,1000,modis,lst_day_1km,1,1,2,305.7,0.6800000000000068,1,
245,769,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
246,862,1000,modis,lst_day_1km,1,1,2,293.71000000000004,0.27000000000001023,1,
247,2214,1000,modis,lst_day_1km,1,1,3,310.76,0.09797958971133083,1,
