system:index,date,id,lat,lng,value,.geo
00000000000000000a3d,2016-04-25,2622,48.4999187,-123.3603421,0.406196580285764,
00000000000000000ca8,2016-04-25,3241,34.3758313,-118.4366682,0.21642841351733308,
00000000000000001382,2016-04-25,4995,49.6395663,-125.0126338,0.3185803997995616,
0000000000000000148f,2016-04-25,5264,38.2469559,-120.9525907,0.2270415034505063,
00000000000000001493,2016-04-25,5268,32.5354533,-110.862093,0.1062397420354724,
00000000000000001c48,2016-04-25,7241,33.976363,-118.44116973876953,0.09449139017731836,
0000000000000000215d,2016-04-25,8542,37.5127215,-118.6407137,0.21654705290732415,
000000000000000025fc,2016-04-25,9725,42.7908259,-124.519043,0.6329575098525182,
00000000000000000702,2016-04-26,1795,36.5419153,-121.9046402,0.10591798178689693,
0000000000000000081e,2016-04-26,2079,34.74928665161133,-117.332071,0.19167015887220898,
00000000000000000a7c,2016-04-26,2685,48.434866,-123.458371,0.5547339554177517,
00000000000000001673,2016-04-26,5748,38.7526743,-120.2675968,0.30225476315570166,
00000000000000001748,2016-04-26,5961,49.0392113,-123.8699609,0.3459912905376332,
00000000000000001c89,2016-04-26,7306,35.746734619140625,-118.587081,0.22966394451881897,
00000000000000001d6d,2016-04-26,7534,34.0321054,-117.2057104,0.21410241010150005,
00000000000000001f11,2016-04-26,7954,37.0043348,-121.6056919,0.592370964758109,
0000000000000000056c,2016-04-27,1389,32.386382,-111.130884,0.18275660530694152,
000000000000000006f7,2016-04-27,1784,36.616835,-121.933056,0.32537997608416985,
000000000000000010c6,2016-04-27,4295,36.4183133,-120.3745468,0.44636130240646593,
000000000000000012f4,2016-04-27,4853,36.0588137,-118.9190626,0.23957467205064903,
00000000000000001327,2016-04-27,4904,48.4980386,-122.7011712,0.2364650821003117,
00000000000000001494,2016-04-27,5269,38.75278091430664,-120.73336029052734,0.2049202491219652,
00000000000000001638,2016-04-27,5689,33.7303538,-112.192651,0.1770090717120626,
00000000000000001ce7,2016-04-27,7400,36.636659,-120.630682,0.22017421594825,
00000000000000002073,2016-04-27,8308,37.753057,-119.5727491,0.3249246242447827,
0000000000000000213d,2016-04-27,8510,38.05809020996094,-122.53987121582031,0.384988278585395,
000000000000000025b5,2016-04-27,9654,33.9083596,-111.485703,0.20640287365942894,
000000000000000002f9,2016-04-28,762,33.80899429321289,-118.370502,0.31089542786972796,
00000000000000000af8,2016-04-28,2809,38.2996579,-122.4224997,0.44369936342008764,
00000000000000000fe7,2016-04-28,4072,33.4870081,-112.3984623,0.07516650893676646,
000000000000000015c1,2016-04-28,5570,37.869326,-121.750096,0.20686659535733196,
000000000000000018eb,2016-04-28,6380,48.659086,-123.41783905029297,0.40667742599686546,
0000000000000000015b,2016-04-29,348,34.237619,-117.080229,0.13956259469516225,
000000000000000005ea,2016-04-29,1515,34.8929076,-111.7334086,0.25875901332797824,
00000000000000000873,2016-04-29,2164,34.1352316,-118.1561431,0.6358344380804366,
00000000000000000a33,2016-04-29,2612,37.4921237,-122.3154902,0.4001791636160839,
00000000000000000d50,2016-04-29,3409,38.011211,-122.500011,0.3026172000501278,
00000000000000000f71,2016-04-29,3954,35.3741701,-119.0351057,0.494751408145751,
0000000000000000121f,2016-04-29,4640,33.560656,-117.240933,0.013203537301279674,
0000000000000000138f,2016-04-29,5008,33.70743942260742,-116.8818841,0.14810352495956694,
000000000000000014f9,2016-04-29,5370,34.7749499,-114.5381784,0.2161389767058745,
00000000000000001735,2016-04-29,5942,33.714334,-117.825897,0.11439801020850082,
00000000000000001cef,2016-04-29,7408,38.4150642,-120.8207703,0.2748236384396823,
0000000000000000249f,2016-04-29,9376,49.320413,-122.789782,0.5727854637854972,
00000000000000000580,2016-04-30,1409,34.496698,-118.343748,0.20650147210066033,
00000000000000000a64,2016-04-30,2661,34.1798392,-118.8668346,0.20041039479866332,
0000000000000000101c,2016-04-30,4125,47.24906921386719,-122.754172,0.4261329474939706,
00000000000000001127,2016-04-30,4392,31.8831952,-110.9670339,0.4943331059349199,
00000000000000001529,2016-04-30,5418,49.2159993,-123.9448249,0.38080791059917324,
000000000000000016b8,2016-04-30,5817,38.0317322,-122.6177931,0.29793577392752124,
00000000000000001acb,2016-04-30,6860,33.9227438,-118.2159913,0.21550551868727602,
00000000000000001f59,2016-04-30,8026,38.2004178,-120.7215071,0.32194510072785787,
0000000000000000230e,2016-04-30,8975,34.1652271,-118.9407699,0.1918560449095725,
0000000000000000083f,2016-05-01,2112,31.7635203,-110.8460239,0.2979540415625025,
00000000000000000b47,2016-05-01,2888,40.3371002,-121.9089271,0.30245617650391016,
00000000000000000b7c,2016-05-01,2941,37.9002725,-122.2488427,0.3177860051808182,
0000000000000000103f,2016-05-01,4160,42.1880317,-122.6643544,0.5070687742811452,
00000000000000001202,2016-05-01,4611,38.5101055,-120.8043766,0.3666064273523918,
0000000000000000145a,2016-05-01,5211,34.603851318359375,-112.45182800292969,0.1925327138179333,
0000000000000000159f,2016-05-01,5536,36.5132596,-121.9450879,0.13991420696356763,
0000000000000000189f,2016-05-01,6304,34.0809432,-117.8055777,-0.0032361697902320587,
00000000000000001d64,2016-05-01,7525,32.9741272,-117.2678947,-0.0517267437411225,
00000000000000001f5c,2016-05-01,8029,42.6513782,-123.6169862,0.45913147772762025,
00000000000000002364,2016-05-01,9061,41.9845685,-122.4597931,0.25489792164604447,
000000000000000025fb,2016-05-01,9724,35.600167,-118.45700073242188,0.1806185539562671,
0000000000000000016d,2016-05-02,366,49.696159,-124.8663139,0.40397569215364615,
000000000000000002fa,2016-05-02,763,45.3374342,-122.676383,0.5190219968217362,
00000000000000000a2f,2016-05-02,2608,38.7821901,-121.3489723,0.3273952238149654,
00000000000000000a7a,2016-05-02,2683,40.2931038,-121.8006306,0.35365316346731607,
00000000000000000dd9,2016-05-02,3546,38.4235373,-122.7814865,0.3806364922227078,
00000000000000001349,2016-05-02,4938,34.7325439453125,-118.595351,0.22781533918060592,
0000000000000000005c,2016-05-03,93,37.9903487,-122.2621813,0.27635177588079446,
00000000000000000f1c,2016-05-03,3869,46.9465409,-124.1324679,0.1850313222606404,
00000000000000001282,2016-05-03,4739,31.6707698,-110.9136343,0.22023099393452364,
000000000000000012ab,2016-05-03,4780,32.91115188598633,-117.102971,0.1887950020831824,
0000000000000000137c,2016-05-03,4989,40.512864,-122.36749267578125,0.4323273925477403,
00000000000000001538,2016-05-03,5433,49.010434,-123.578281,0.21337363446507898,
00000000000000001896,2016-05-03,6295,34.5073346,-118.615737,0.3527977360637099,
00000000000000001900,2016-05-03,6401,33.7376466,-118.2798868,0.12745397474659195,
00000000000000001acf,2016-05-03,6864,33.6489219,-117.8901672,0.24653745817091524,
00000000000000001b90,2016-05-03,7057,48.5394547,-123.3635902,0.36896669818787187,
000000000000000007bf,2016-05-04,1984,33.5017308,-117.7190638,0.7111667058174603,
00000000000000000e20,2016-05-04,3617,34.5494608,-118.5106373,0.44216138066965766,
0000000000000000116c,2016-05-04,4461,48.11308288574219,-122.811773,0.34500724279989214,
00000000000000001848,2016-05-04,6217,34.7716174,-111.8928123,0.18399221776223587,
00000000000000001856,2016-05-04,6231,35.122777,-117.281477,0.12090783869306582,
00000000000000001d29,2016-05-04,7466,48.490473,-123.3518529,0.3657999152141175,
00000000000000001ea2,2016-05-04,7843,49.398265,-123.524813,0.36658342190468873,
000000000000000024e7,2016-05-04,9448,33.3495301,-117.1434832,0.4442667496473428,
000000000000000001f1,2016-05-05,498,32.508082,-110.9120538,0.2323958703151235,
00000000000000000714,2016-05-05,1813,48.4134792,-122.2762871,0.3978104677374772,
000000000000000010c8,2016-05-05,4297,43.346261,-123.365353,0.43016373294361465,
000000000000000016fd,2016-05-05,5886,33.374871,-110.816512,0.2277629127376506,
