"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",33.7472518,-118.386569,2015-03-24,0.161,150,232
"Calypte anna",33.7168616,-118.0597687,2015-05-09,0.161,150,233
"Calypte anna",49.2481095,-122.9028062,2017-05-14,0.2,150,234
"Calypte anna",32.437844,-111.203454,2013-11-08,0.161,150,235
"Calypte anna",32.566415,-117.063712,2017-03-22,0.193,150,236
"Calypte anna",49.2215,-124.01431,2014-04-20,0.2,150,237
"Calypte anna",38.638494,-121.564793,2013-12-23,0.161,150,238
"Calypte anna",37.5919467,-122.345078,2013-01-22,0.161,150,239
"Calypte anna",47.3042604,-122.4426236,2014-03-04,0.161,150,240
"Calypte anna",32.5383806,-116.3191806,2017-06-11,0.161,150,241
"Calypte anna",39.2449364,-121.2021744,2017-05-31,0.161,150,242
"Calypte anna",36.41306,-119.09076,2015-06-17,0.161,150,243
"Calypte anna",47.6985488,-122.3387074,2014-02-04,0.161,150,244
"Calypte anna",37.9633914,-122.0940815,2017-03-11,0.161,150,245
"Calypte anna",35.7169705,-120.8798647,2014-05-12,0.161,150,246
"Calypte anna",33.7510711,-117.5713498,2017-05-23,0.201,150,247
"Calypte anna",37.4252354,-122.1665901,2017-10-25,0.225,150,248
"Calypte anna",38.0287349,-122.9639959,2017-10-08,0.161,150,249
"Calypte anna",34.1232538,-117.5814342,2014-12-25,0.161,150,250
"Calypte anna",38.5569413,-121.4561635,2017-10-18,0.209,150,251
"Calypte anna",34.616864,-112.55071,2016-04-17,0.241,150,252
"Calypte anna",39.0596113,-121.4649564,2017-01-05,0.161,150,253
"Calypte anna",45.417171,-122.653324,2015-11-28,0.161,150,254
"Calypte anna",37.106933,-121.9025092,2017-04-09,0.161,150,255
"Calypte anna",33.0409751,-117.2410297,2017-10-20,0.161,150,256
"Calypte anna",48.4109003,-123.3007622,2017-06-10,0.2,150,257
"Calypte anna",47.6471845,-122.0615816,2017-04-27,0.161,150,258
"Calypte anna",49.6115998,-124.0315247,2017-01-14,0.2,150,259
"Calypte anna",39.3819031,-123.0903375,2016-05-14,0.161,150,260
"Calypte anna",47.0188428,-122.8557622,2017-04-21,0.161,150,261
"Calypte anna",42.4273345,-123.3903971,2016-03-25,0.161,150,262
"Calypte anna",48.2271248,-122.5068498,2017-10-01,0.161,150,263
"Calypte anna",45.04504,-122.92332,2014-07-13,0.161,150,264
"Calypte anna",38.9036663,-121.0677937,2015-02-23,0.161,150,265
"Calypte anna",49.4023639,-124.6332353,2016-01-19,0.2,150,266
"Calypte anna",33.1566848,-117.3529422,2015-12-02,0.161,150,267
"Calypte anna",45.3834097,-122.5968355,2017-01-14,0.161,150,268
"Calypte anna",39.944552,-120.885374,2013-08-16,0.161,150,269
"Calypte anna",35.2552919,-120.6268358,2014-06-16,0.241,150,270
"Calypte anna",43.233078,-123.369404,2014-05-15,0.161,150,271
"Calypte anna",37.570093,-121.9437361,2017-03-29,0.161,150,272
