scientificName,decimalLongitude,decimalLatitude
Baeolophus bicolor,-96.8309078,32.7621695
Baeolophus bicolor,-75.7709455,39.0043114
Baeolophus bicolor,-74.2145408,39.9557443
Baeolophus bicolor,-75.6541608,39.87259
Baeolophus bicolor,-70.52892,41.589021
Baeolophus bicolor,-72.331594,41.512737
Baeolophus bicolor,-84.09659,33.347186
Baeolophus bicolor,-82.2626209,34.7889067
Baeolophus bicolor,-76.8423191,39.1513517
Baeolophus bicolor,-94.1134787,39.4901563
Baeolophus bicolor,-73.7387431,41.3283737
Baeolophus bicolor,-84.54185,36.67303
Baeolophus bicolor,-75.95509,40.63388
Baeolophus bicolor,-82.6015857,28.1134651
Baeolophus bicolor,-94.965343,39.028011
Baeolophus bicolor,-75.1936725,40.0846222
Baeolophus bicolor,-87.3169009,38.6689605
Baeolophus bicolor,-70.294609,41.696734
Baeolophus bicolor,-70.3567672,43.6374842
Baeolophus bicolor,-72.3157668,42.1924872
Baeolophus bicolor,-85.691389,42.30887
Baeolophus bicolor,-83.7486506,41.851645
Baeolophus bicolor,-78.4218274,37.4629792
Baeolophus bicolor,-81.6554571,40.7626
Baeolophus bicolor,-83.0080283,35.8308705
Baeolophus bicolor,-78.7026661,38.5336475
Baeolophus bicolor,-91.3986808,44.7883686
Baeolophus bicolor,-86.879999,35.97561
Baeolophus bicolor,-75.8486575,40.409604
Baeolophus bicolor,-83.624962,41.598765
Baeolophus bicolor,-96.6799074,33.1749971
Baeolophus bicolor,-82.8366137,35.6174305
Baeolophus bicolor,-79.1389847,40.2991014
Baeolophus bicolor,-76.6612311,42.526616
Baeolophus bicolor,-83.4196615,42.5315082
Baeolophus bicolor,-83.5929537,41.6601043
Baeolophus bicolor,-76.6974583,34.9485686
Baeolophus bicolor,-80.5318289,34.8940626
Baeolophus bicolor,-92.06912,37.957535
Baeolophus bicolor,-93.8039732,41.6222839
Baeolophus bicolor,-70.9811663,42.6827118
Baeolophus bicolor,-85.8414066,38.6632461
Baeolophus bicolor,-77.2415527,39.2054262
Baeolophus bicolor,-82.7676594,43.6119915
Baeolophus bicolor,-78.1524459,36.5827581
Baeolophus bicolor,-97.064472,30.650134
Baeolophus bicolor,-95.2741832,29.9366576
Baeolophus bicolor,-82.351893,34.751554
Baeolophus bicolor,-81.3332382,35.734324
Baeolophus bicolor,-74.3214864,40.6573179
Baeolophus bicolor,-78.7463708,35.7273191
Baeolophus bicolor,-82.552,40.683
Baeolophus bicolor,-87.8283334,36.7933574
Baeolophus bicolor,-83.5870463,42.5545609
Baeolophus bicolor,-91.8337083,37.9485463
Baeolophus bicolor,-82.2971678,39.7715174
Baeolophus bicolor,-86.6789085,32.3277192
Baeolophus bicolor,-84.6289945,42.7619959
Baeolophus bicolor,-76.2207627,41.0859964
Baeolophus bicolor,-78.3102787,39.3047159
Baeolophus bicolor,-85.37043,32.737702
Baeolophus bicolor,-84.343447,30.410055
Baeolophus bicolor,-70.8395755,42.5975922
Baeolophus bicolor,-83.9433575,35.7220575
Baeolophus bicolor,-78.3535266,40.9712795
Baeolophus bicolor,-93.0318618,32.673519
Baeolophus bicolor,-75.4592085,38.3051263
Baeolophus bicolor,-73.7155151,44.1171697
Baeolophus bicolor,-73.1919652,42.7171015
Baeolophus bicolor,-76.8296,34.7381499
Baeolophus bicolor,-76.4062214,42.8247115
Baeolophus bicolor,-86.5929508,41.2317596
Baeolophus bicolor,-82.5636935,36.1721594
Baeolophus bicolor,-82.3841709,28.55522
Baeolophus bicolor,-83.894415,33.869703
Baeolophus bicolor,-92.569207,31.521863
Baeolophus bicolor,-84.1779542,34.1961498
Baeolophus bicolor,-78.1234789,34.5292578
Baeolophus bicolor,-71.201582,42.822406
Baeolophus bicolor,-76.62599,38.417629
Baeolophus bicolor,-73.0264878,44.3059462
Baeolophus bicolor,-74.747087,40.799435
Baeolophus bicolor,-87.001324,34.682969
Baeolophus bicolor,-82.624568,27.499826
Baeolophus bicolor,-71.320737,42.39005
Baeolophus bicolor,-83.514225,39.337212
Baeolophus bicolor,-76.9503021,41.8604203
Baeolophus bicolor,-95.2514488,37.5020624
Baeolophus bicolor,-82.2657752,36.6051586
Baeolophus bicolor,-80.5071259,27.7844546
Baeolophus bicolor,-75.7938516,38.8992244
Baeolophus bicolor,-81.003025,32.6382933
Baeolophus bicolor,-82.9516912,32.5585695
Baeolophus bicolor,-86.7517269,34.8250686
Baeolophus bicolor,-79.9883437,32.8162047
Baeolophus bicolor,-92.6100039,38.9973
Baeolophus bicolor,-76.4771175,38.9707539
Baeolophus bicolor,-74.8879222,41.2913363
Baeolophus bicolor,-83.339336,44.403026
Baeolophus bicolor,-75.318444,38.163337
Baeolophus bicolor,-84.6621332,39.1149428
Baeolophus bicolor,-95.66555,29.40919
Baeolophus bicolor,-80.3948593,36.7378524
Baeolophus bicolor,-81.7509578,41.4856919
Baeolophus bicolor,-70.6898184,41.7476111
Baeolophus bicolor,-88.8177724,33.4580458
Baeolophus bicolor,-86.0366821,38.5449433
Baeolophus bicolor,-77.2416698,43.1962678
Baeolophus bicolor,-73.9951837,43.0943112
Baeolophus bicolor,-94.8429115,36.5394481
Baeolophus bicolor,-87.4967051,37.4750539
Baeolophus bicolor,-85.733585,38.277122
Baeolophus bicolor,-79.8637001,39.6510567
Baeolophus bicolor,-79.717257,32.925141
Baeolophus bicolor,-94.466327,37.107663
Baeolophus bicolor,-90.1965523,38.1924582
Baeolophus bicolor,-86.5772867,39.1769842
Baeolophus bicolor,-81.404547,30.104231
Baeolophus bicolor,-86.342465,30.474551
Baeolophus bicolor,-84.806206,34.146096
Baeolophus bicolor,-83.7688889,32.8611111
Baeolophus bicolor,-80.984782,25.756635
Baeolophus bicolor,-83.4640534,33.8507419
Baeolophus bicolor,-82.3360276,32.9776493
Baeolophus bicolor,-78.8389367,35.5814845
Baeolophus bicolor,-77.3381512,35.5915978
Baeolophus bicolor,-75.0071383,40.7655915
